id	quiz	userid	attempt	uniqueid	layout	currentpage	preview	state	timestart	timefinish	timemodified	timemodifiedoffline	timecheckstate	sumgrades
52	1	79	2	52	1,2,3,4,5,6,7,8,9,0	0	0	finished	1435287968	1435288758	1435288758	0	0	2.38889
53	1	79	3	53	1,2,3,4,5,6,7,8,9,0	0	0	finished	1435289582	1435290436	1435290436	0	0	7.50000
54	2	21	1	54	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434069863	1434145183	1434145183	0	0	7.00000
55	2	71	2	55	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434411958	1434412563	1434412563	0	0	10.00000
56	2	21	2	56	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434145352	1434145544	1434145544	0	0	9.00000
57	2	55	2	57	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434146208	1434146495	1434146495	0	0	9.00000
58	2	53	1	58	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434387102	1434388368	1434388368	0	0	5.00000
59	2	57	1	59	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434060775	1434061881	1434061881	0	0	7.00000
60	2	35	1	60	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434059519	1434061930	1434061930	0	0	6.00000
61	2	35	2	61	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434062092	1434062471	1434062471	0	0	9.00000
62	2	56	1	62	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434046252	1434063080	1434063080	0	0	10.00000
63	2	53	2	63	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434468370	1434468483	1434468483	0	0	8.00000
64	2	55	1	64	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434068929	1434070029	1434070029	0	0	5.00000
65	2	85	2	65	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434635666	1434636493	1434636493	0	0	10.00000
66	2	70	1	66	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434398577	1434398990	1434398990	0	0	4.00000
67	2	70	2	67	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434399144	1434399338	1434399338	0	0	7.00000
68	2	81	1	68	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434397182	1434402459	1434402459	0	0	8.00000
69	2	77	1	69	1,2,3,4,5,6,7,8,9,10,0	0	0	abandoned	1434461363	0	1435374063	0	0	NULL
70	2	41	1	70	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434570091	1434570153	1434570153	0	0	10.00000
71	2	67	1	71	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434565959	1434566556	1434566556	0	0	3.00000
72	2	71	1	72	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434408336	1434411538	1434411538	0	0	2.00000
73	2	43	1	73	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434472830	1435255413	1435255413	0	0	5.00000
74	2	72	1	74	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434470621	1434476917	1434476917	0	0	5.00000
75	2	33	1	75	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434659616	1434660017	1434660017	0	0	6.00000
76	2	31	1	76	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434560052	1434560403	1434560403	0	0	5.00000
77	2	67	2	77	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434567102	1434567213	1434567213	0	0	10.00000
78	2	69	1	78	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434577381	1434577743	1434577743	0	0	4.00000
79	2	58	1	79	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434063876	1434570045	1434570045	0	0	10.00000
80	2	74	1	80	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434207340	1434647118	1434647118	0	0	6.00000
81	2	69	2	81	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434577800	1434579949	1434579949	0	0	7.00000
82	2	85	1	82	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434133067	1434635337	1434635337	0	0	5.00000
83	2	72	2	83	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434783731	1434784227	1434784227	0	0	5.00000
84	2	64	1	84	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434739380	1434740289	1434740289	0	0	7.00000
85	2	49	1	85	1,2,3,4,5,6,7,8,9,10,0	0	0	finished	1434897827	1434899037	1434899037	0	0	4.00000
